Posição;Município;IBGE;Descrição Faixa;Prestadores;Serviços;Natureza Jurídica;POP_TOT;POP_URB;Ano;IDAA;IDES;IDRS;IDAP;INSA;Desempenho;Cod_Prestador
475;Senador Modestino Gonçalves;3165909;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31659011] Prefeitura Municipal de Senador Modestino Gonçalves - PMSMG | [31659040] Secretaria Municipal de Obras - SMO;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;4008;1599,0;2020-2022;0,2843177189409368;0,6908000000000001;0,3178947368421053;0,17615230460921844;0,36729119009806516;Baixo;31062000
476;Nacip Raydan;3144201;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31442011] Prefeitura Municipal de Nacip Raydan - PMNR | [31442040] Prefeitura Municipal de nacip Raydan - PMNR;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;2459;2021,0;2020-2022;0,17742257742257747;0,47640000000000005;0,2788530465949821;0,5357142857142857;0,36709747743296134;Baixo;31062000
477;Comendador Gomes;3116902;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31169011] Prefeitura Municipal de Comendador Gomes - PMCG | [31169040] PREFEITURA MUNICIPAL DE COMENDADOR GOMES - PREF. C. G.;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;2773;1587,0;2020-2022;0,34945054945054954;0,5548906789413119;0,09605055292259083;0,4647294589178356;0,366280310058072;Baixo;31062000
478;Alvorada de Minas;3102407;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31024011] Prefeitura Municipal de Alvorada de Minas - PMAM | [31024040] Prefeitura Municipal de Alvorada de Minas - PMAM;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;4159;1474,0;2020-2022;0,22810590631364563;0,35743315508021384;0,4257923497267758;0,4519038076152304;0,3658088046839664;Baixo;31062000
479;Campanário;3110806;;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31108040] Prefeitura Municipal de Campanário - PMC;Água | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;2923;2781,0;2020-2022;0,19520479520479525;;0,5359281437125749;;0,3655664694586851;Baixo;31062000
480;Itutinga;3134509;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31345011] Prefeitura Municipal de Itutinga - PMI | [31345040] PREFEITURA MUNICIPAL DE ITUTINGA/MG - PMI;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;4217;2640,0;2020-2022;0,3814185814185815;0,4034000000000001;0,3869473684210526;0,2865731462925852;0,36458477403305484;Baixo;31062000
481;Paula Cândido;3148301;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31483011] Prefeitura Municipal de Paula Candido - PMPC | [31483040] Prefeitura Municipal de Paula Cândido - PMPC;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;8659;5110,0;2020-2022;0,18044806517311607;0,4316000000000001;0,5454054054054053;0,3004008016032064;0,36446356804543195;Baixo;31062000
482;Resende Costa;3154200;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31542040] Prefeitura Municipal de Resende Costa - PMRC;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;11230;9311,0;2020-2022;0,4615071283095723;0,1534;0,29094972067039104;0,5503006012024048;0,364039362545592;Baixo;31062000
483;Ubaporanga;3170057;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31700511] Prefeitura Municipal de Ubaporanga - PMU | [31700540] Prefeitura Municipal de Ubaporanga - PMU;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;13017;6687,0;2020-2022;0,13360488798370673;0,3048;0,5135071090047392;0,5040080160320641;0,3639800032551275;Baixo;31062000
484;Tumiritinga;3169505;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31695011] Prefeitura Municipal de Tumiritinga - PMT | [31695040] Prefeitura Municipal de Tumiritinga - PMT;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;5886;4669,0;2020-2022;0,29287169042769856;0,4852;0,43663157894736837;0,2410821643286573;0,36394635842593104;Baixo;31062000
